X,Y,Z,node_type,ID
640,302,13,golgi,0
628,506,17,golgi,1
583,297,10,golgi,2
576,528,15,golgi,3
576,233,12,golgi,4
572,224,13,golgi,5
492,526,5,golgi,6
468,477,7,golgi,7
459,81,18,golgi,8
445,139,19,golgi,9
442,547,9,golgi,10
430,524,9,golgi,11
421,159,12,golgi,12
398,580,13,golgi,13
383,295,11,golgi,14
382,258,9,golgi,15
370,197,12,golgi,16
342,220,11,golgi,17
340,550,16,golgi,18
333,579,12,golgi,19
322,513,14,golgi,20
310,428,9,golgi,21
308,576,13,golgi,22
302,456,9,golgi,23
297,397,9,golgi,24
294,244,9,golgi,25
272,408,11,golgi,26
263,509,16,golgi,27
250,268,13,golgi,28
250,157,12,golgi,29
245,189,14,golgi,30
237,87,18,golgi,31
230,334,13,golgi,32
227,64,15,golgi,33
208,494,9,golgi,34
191,495,8,golgi,35
188,286,9,golgi,36
174,379,12,golgi,37
167,41,14,golgi,38
139,249,12,golgi,39
70,148,13,golgi,40
28,170,9,golgi,41
618,25,12,nuclei,42
612,285,12,nuclei,43
602,538,15,nuclei,44
586,249,9,nuclei,45
572,301,10,nuclei,46
465,479,9,nuclei,47
462,312,13,nuclei,48
458,73,17,nuclei,49
456,540,11,nuclei,50
447,543,11,nuclei,51
447,139,17,nuclei,52
433,152,23,nuclei,53
425,89,18,nuclei,54
416,558,7,nuclei,55
414,539,12,nuclei,56
394,311,15,nuclei,57
378,229,9,nuclei,58
358,198,13,nuclei,59
351,570,16,nuclei,60
346,232,9,nuclei,61
344,551,13,nuclei,62
319,234,6,nuclei,63
318,401,9,nuclei,64
306,522,17,nuclei,65
298,552,14,nuclei,66
297,482,7,nuclei,67
297,399,13,nuclei,68
278,513,19,nuclei,69
260,419,16,nuclei,70
246,174,7,nuclei,71
245,361,14,nuclei,72
244,189,12,nuclei,73
234,495,11,nuclei,74
229,65,13,nuclei,75
216,308,9,nuclei,76
169,473,12,nuclei,77
166,399,11,nuclei,78
165,481,14,nuclei,79
146,236,13,nuclei,80
110,25,13,nuclei,81
97,104,12,nuclei,82
89,111,12,nuclei,83
82,240,19,nuclei,84
62,497,13,nuclei,85
50,614,13,nuclei,86
25,504,10,nuclei,87
