X,Y,Z,node_type,ID
552,105,22,golgi,0
552,63,6,golgi,1
551,447,6,golgi,2
534,431,5,golgi,3
530,120,19,golgi,4
518,216,9,golgi,5
516,318,5,golgi,6
513,171,5,golgi,7
508,140,29,golgi,8
501,163,7,golgi,9
491,273,9,golgi,10
478,163,5,golgi,11
468,153,14,golgi,12
460,453,8,golgi,13
435,157,24,golgi,14
420,436,9,golgi,15
418,25,7,golgi,16
415,479,8,golgi,17
411,363,5,golgi,18
392,177,22,golgi,19
381,157,6,golgi,20
373,401,6,golgi,21
367,149,5,golgi,22
365,435,19,golgi,23
364,334,8,golgi,24
357,189,20,golgi,25
352,99,6,golgi,26
350,466,17,golgi,27
340,193,12,golgi,28
331,285,7,golgi,29
328,191,21,golgi,30
327,425,16,golgi,31
324,255,10,golgi,32
311,187,14,golgi,33
306,177,12,golgi,34
300,267,10,golgi,35
294,442,15,golgi,36
286,372,5,golgi,37
278,415,6,golgi,38
273,79,8,golgi,39
269,301,8,golgi,40
269,199,22,golgi,41
267,165,8,golgi,42
256,458,13,golgi,43
254,60,13,golgi,44
237,335,6,golgi,45
236,203,8,golgi,46
225,351,8,golgi,47
220,414,9,golgi,48
185,225,18,golgi,49
181,479,10,golgi,50
180,392,5,golgi,51
180,377,6,golgi,52
167,207,18,golgi,53
143,133,10,golgi,54
126,200,9,golgi,55
123,251,22,golgi,56
122,345,8,golgi,57
92,432,9,golgi,58
90,291,22,golgi,59
87,321,6,golgi,60
87,243,12,golgi,61
76,393,15,golgi,62
65,63,5,golgi,63
59,299,28,golgi,64
58,121,8,golgi,65
51,319,36,golgi,66
51,251,5,golgi,67
46,397,7,golgi,68
42,378,5,golgi,69
29,373,14,golgi,70
26,185,8,golgi,71
26,81,5,golgi,72
25,439,6,golgi,73
553,429,8,nuclei,74
545,120,17,nuclei,75
537,109,22,nuclei,76
532,100,23,nuclei,77
531,450,6,nuclei,78
516,185,11,nuclei,79
513,133,29,nuclei,80
512,174,8,nuclei,81
506,245,11,nuclei,82
492,147,13,nuclei,83
445,454,12,nuclei,84
433,155,29,nuclei,85
410,362,10,nuclei,86
397,434,6,nuclei,87
376,180,17,nuclei,88
362,445,15,nuclei,89
358,422,23,nuclei,90
358,401,7,nuclei,91
358,181,13,nuclei,92
346,123,7,nuclei,93
345,190,24,nuclei,94
333,283,7,nuclei,95
325,429,19,nuclei,96
324,178,11,nuclei,97
317,255,7,nuclei,98
314,469,11,nuclei,99
287,274,9,nuclei,100
284,437,13,nuclei,101
283,162,6,nuclei,102
281,182,12,nuclei,103
276,46,15,nuclei,104
274,355,7,nuclei,105
272,202,24,nuclei,106
265,297,12,nuclei,107
261,186,25,nuclei,108
250,324,7,nuclei,109
246,401,7,nuclei,110
236,339,8,nuclei,111
232,174,19,nuclei,112
226,445,11,nuclei,113
194,354,7,nuclei,114
193,469,8,nuclei,115
178,201,21,nuclei,116
164,230,13,nuclei,117
150,186,11,nuclei,118
146,482,15,nuclei,119
138,357,13,nuclei,120
133,242,22,nuclei,121
114,413,7,nuclei,122
112,453,21,nuclei,123
90,401,17,nuclei,124
85,233,14,nuclei,125
81,286,30,nuclei,126
74,313,9,nuclei,127
70,133,7,nuclei,128
63,309,36,nuclei,129
61,394,6,nuclei,130
58,299,26,nuclei,131
53,255,7,nuclei,132
50,78,7,nuclei,133
46,169,9,nuclei,134
44,446,7,nuclei,135
44,384,6,nuclei,136
30,387,11,nuclei,137
27,379,9,nuclei,138
25,305,24,nuclei,139
