X,Y,Z,node_type,ID
581,505,37,golgi,0
575,374,39,golgi,1
556,514,40,golgi,2
543,416,40,golgi,3
532,51,33,golgi,4
529,298,34,golgi,5
516,351,33,golgi,6
511,180,33,golgi,7
509,164,31,golgi,8
456,317,33,golgi,9
447,504,37,golgi,10
435,484,34,golgi,11
413,341,33,golgi,12
395,500,38,golgi,13
386,283,35,golgi,14
384,517,37,golgi,15
332,483,33,golgi,16
312,436,33,golgi,17
303,198,31,golgi,18
293,25,30,golgi,19
266,271,31,golgi,20
261,248,31,golgi,21
236,357,29,golgi,22
216,65,29,golgi,23
187,164,30,golgi,24
130,431,31,golgi,25
56,129,29,golgi,26
48,143,27,golgi,27
38,389,33,golgi,28
575,372,41,nuclei,29
571,506,36,nuclei,30
568,427,42,nuclei,31
551,508,37,nuclei,32
524,46,31,nuclei,33
523,160,35,nuclei,34
514,289,42,nuclei,35
502,345,32,nuclei,36
461,478,34,nuclei,37
447,502,44,nuclei,38
426,321,38,nuclei,39
392,351,32,nuclei,40
388,497,32,nuclei,41
366,269,34,nuclei,42
334,469,34,nuclei,43
322,446,38,nuclei,44
295,206,32,nuclei,45
264,25,32,nuclei,46
255,264,32,nuclei,47
215,342,30,nuclei,48
214,43,31,nuclei,49
176,155,32,nuclei,50
106,417,29,nuclei,51
79,401,30,nuclei,52
31,143,27,nuclei,53
27,386,36,nuclei,54
