X,Y,Z,node_type,ID
657,67,18,golgi,0
655,59,20,golgi,1
641,211,18,golgi,2
582,179,22,golgi,3
570,70,19,golgi,4
568,79,20,golgi,5
550,110,22,golgi,6
521,455,13,golgi,7
517,91,21,golgi,8
509,263,17,golgi,9
508,25,26,golgi,10
476,336,23,golgi,11
471,353,26,golgi,12
465,487,25,golgi,13
459,103,22,golgi,14
450,196,22,golgi,15
449,151,29,golgi,16
444,235,19,golgi,17
436,266,23,golgi,18
426,122,22,golgi,19
417,390,28,golgi,20
409,471,29,golgi,21
395,475,28,golgi,22
389,480,23,golgi,23
387,47,33,golgi,24
378,461,32,golgi,25
376,118,21,golgi,26
353,80,20,golgi,27
347,150,24,golgi,28
346,138,21,golgi,29
341,167,21,golgi,30
325,139,33,golgi,31
322,362,21,golgi,32
321,407,21,golgi,33
319,319,22,golgi,34
316,351,19,golgi,35
292,35,29,golgi,36
261,415,25,golgi,37
221,451,29,golgi,38
220,499,29,golgi,39
214,160,24,golgi,40
208,473,32,golgi,41
194,242,20,golgi,42
192,107,22,golgi,43
182,283,22,golgi,44
133,402,26,golgi,45
93,460,26,golgi,46
92,482,28,golgi,47
91,471,25,golgi,48
78,539,23,golgi,49
74,551,26,golgi,50
52,435,24,golgi,51
36,204,25,golgi,52
667,55,21,nuclei,53
652,25,18,nuclei,54
625,206,16,nuclei,55
598,184,22,nuclei,56
574,61,17,nuclei,57
572,90,20,nuclei,58
561,105,29,nuclei,59
517,240,24,nuclei,60
504,69,28,nuclei,61
502,32,30,nuclei,62
493,25,29,nuclei,63
480,342,14,nuclei,64
476,509,26,nuclei,65
470,365,16,nuclei,66
462,469,28,nuclei,67
457,109,33,nuclei,68
456,176,20,nuclei,69
443,273,21,nuclei,70
437,246,20,nuclei,71
436,129,28,nuclei,72
425,106,24,nuclei,73
424,381,24,nuclei,74
418,356,28,nuclei,75
402,25,33,nuclei,76
388,489,30,nuclei,77
379,109,29,nuclei,78
376,65,28,nuclei,79
361,137,25,nuclei,80
344,69,24,nuclei,81
334,147,26,nuclei,82
326,380,26,nuclei,83
325,213,21,nuclei,84
324,330,26,nuclei,85
311,304,27,nuclei,86
308,332,20,nuclei,87
281,131,35,nuclei,88
278,25,26,nuclei,89
241,420,27,nuclei,90
228,478,28,nuclei,91
216,133,26,nuclei,92
200,467,28,nuclei,93
197,221,25,nuclei,94
187,301,23,nuclei,95
180,322,22,nuclei,96
177,109,25,nuclei,97
145,389,29,nuclei,98
112,439,28,nuclei,99
110,80,22,nuclei,100
104,461,30,nuclei,101
70,524,26,nuclei,102
55,72,31,nuclei,103
50,419,34,nuclei,104
40,188,22,nuclei,105
27,54,30,nuclei,106
25,206,27,nuclei,107
