X,Y,Z,node_type,ID
816,92,23,golgi,0
797,195,13,golgi,1
777,164,15,golgi,2
764,175,23,golgi,3
735,150,11,golgi,4
723,46,11,golgi,5
722,62,15,golgi,6
722,54,15,golgi,7
702,49,20,golgi,8
689,54,18,golgi,9
654,153,14,golgi,10
644,153,14,golgi,11
625,195,17,golgi,12
623,177,18,golgi,13
617,177,16,golgi,14
606,88,20,golgi,15
586,73,16,golgi,16
584,122,18,golgi,17
522,78,15,golgi,18
465,167,21,golgi,19
465,147,17,golgi,20
450,55,13,golgi,21
435,146,15,golgi,22
427,51,20,golgi,23
425,134,11,golgi,24
388,141,13,golgi,25
381,219,14,golgi,26
372,203,18,golgi,27
345,31,13,golgi,28
306,28,8,golgi,29
289,147,21,golgi,30
264,159,20,golgi,31
259,158,16,golgi,32
226,103,14,golgi,33
218,121,20,golgi,34
210,211,7,golgi,35
205,93,17,golgi,36
160,45,17,golgi,37
157,135,9,golgi,38
144,72,23,golgi,39
143,108,9,golgi,40
117,75,17,golgi,41
58,63,25,golgi,42
53,71,16,golgi,43
39,55,23,golgi,44
25,52,28,golgi,45
25,35,21,golgi,46
809,147,19,nuclei,47
804,96,14,nuclei,48
777,187,15,nuclei,49
764,234,20,nuclei,50
756,165,10,nuclei,51
751,25,23,nuclei,52
735,53,19,nuclei,53
707,151,21,nuclei,54
698,56,10,nuclei,55
645,185,25,nuclei,56
611,187,17,nuclei,57
609,161,15,nuclei,58
600,133,21,nuclei,59
592,105,16,nuclei,60
588,179,12,nuclei,61
568,146,12,nuclei,62
563,82,20,nuclei,63
537,157,23,nuclei,64
521,66,15,nuclei,65
518,157,22,nuclei,66
458,68,12,nuclei,67
443,135,19,nuclei,68
441,166,16,nuclei,69
422,44,8,nuclei,70
411,149,15,nuclei,71
392,38,24,nuclei,72
383,222,24,nuclei,73
371,150,15,nuclei,74
371,25,15,nuclei,75
364,201,28,nuclei,76
323,25,13,nuclei,77
289,25,17,nuclei,78
268,149,21,nuclei,79
263,246,20,nuclei,80
259,125,23,nuclei,81
248,146,16,nuclei,82
229,109,21,nuclei,83
199,25,19,nuclei,84
193,201,11,nuclei,85
192,104,20,nuclei,86
160,57,18,nuclei,87
153,109,21,nuclei,88
138,48,15,nuclei,89
137,74,12,nuclei,90
116,59,28,nuclei,91
100,92,16,nuclei,92
89,65,19,nuclei,93
44,64,12,nuclei,94
41,68,27,nuclei,95
